companyName,contractType,location,sector,title,postingDate,hourlySalary,salaryRating,viewsCount,applicationsCount,interviewsCount,offersCount,hired,applicationDate,interviewDate,offerDate,hireDate,timeToHireDays,applicantExperienceLevel,workType,salaryRange
DNV,Full-time,"Chalfont, PA",Public Safety,Senior Data Engineer ,2024-08-11,82.87,4.4,1224,177,6,1,True,2024-08-14,2024-08-17,2024-08-23,2024-08-26,12.0,Senior,On-site,$100k-$120k
DNV,Full-time,"Phoenix, AZ",Public Safety,Senior Data Engineer ,2025-03-10,83.93,4.5,1206,82,17,7,False,2025-03-18,2025-03-27,2025-03-29,,,Senior,Hybrid,$120k+
Atlassian,Full-time,"San Francisco, CA",Software Development,Senior Data Engineer,2024-12-11,73.07,3.6,606,85,19,4,True,2024-12-17,2024-12-21,2024-12-26,2024-12-29,12.0,Senior,Remote,$100k-$120k
DNV,Full-time,"Las Vegas, NV",Public Safety,Senior Data Engineer ,2024-10-23,84.54,4.5,366,99,18,0,False,2024-10-27,2024-11-03,2024-11-09,,,Senior,On-site,$120k+
DNV,Full-time,"Oakland, CA",Public Safety,Senior Data Engineer ,2024-05-20,63.61,2.8,708,19,2,0,False,2024-05-28,2024-06-04,2024-06-09,,,Senior,Hybrid,$120k+
KQED,Internship,"San Francisco, CA",Internet Publishing,Data Engineering Intern,2024-05-20,53.61,2.0,512,105,24,6,False,2024-05-29,2024-06-01,2024-06-07,,,Junior,On-site,$100k-$120k
TEKsystems,Full-time,"New York, NY",IT Services and IT Consulting,Junior Developer,2024-04-23,40.14,0.8,962,185,10,2,True,2024-04-25,2024-05-02,2024-05-07,2024-05-10,15.0,Junior,Remote,$80k-$100k
DNV,Full-time,"Houston, TX",Public Safety,Senior Data Engineer ,2025-01-28,69.74,3.3,880,29,5,1,True,2025-02-03,2025-02-11,2025-02-17,2025-02-20,17.0,Senior,Remote,$100k-$120k
DNV,Full-time,"Oak Brook, IL",Public Safety,Senior Data Engineer ,2024-10-24,70.99,3.4,676,48,8,3,False,2024-10-29,2024-11-05,2024-11-10,,,Senior,Hybrid,$120k+
FEDTC,Full-time,"Dallas, TX","Technology, Information and Media",Data Engineer,2024-12-05,49.9,1.7,272,69,6,1,True,2024-12-10,2024-12-16,2024-12-19,2024-12-22,12.0,Senior,Hybrid,$120k+
Integrity,Full-time,"Texas, United States",Insurance,Senior Data Analyst,2024-04-08,80.86,4.2,1364,75,7,2,True,2024-04-11,2024-04-16,2024-04-21,2024-04-26,15.0,Senior,Remote,$100k-$120k
Jobgether,Full-time,United States,Non-profit Organizations and Primary and Secondary Education,Backend Engineer II ,2025-03-18,49.71,1.6,781,74,1,0,False,2025-03-26,2025-04-02,2025-04-05,,,Senior,On-site,$120k+
"Jameson Cole Consulting, LLC",Full-time,"Washington, DC",Business Consulting and Services,Data Science Engineer,2025-01-11,51.22,1.8,461,188,18,0,False,2025-01-19,2025-01-25,2025-01-28,,,Mid-level,On-site,$120k+
CBRE,Full-time,"Dallas, TX",Real Estate,Data Analyst,2024-06-05,39.75,0.8,444,133,24,4,True,2024-06-10,2024-06-14,2024-06-16,2024-06-18,8.0,Mid-level,Hybrid,$60k-$80k
Jobot Consulting,Contract,"Houston, TX",IT Services and IT Consulting and Software Development,AI & Data Engineer ,2024-05-27,49.33,1.6,760,173,28,1,False,2024-06-04,2024-06-11,2024-06-14,,,Junior,On-site,$100k-$120k
Salesforce,Full-time,"Chicago, IL","Software Development, IT Services and IT Consulting, and Technology, Information and Internet",Associate Solution Engineer ,2024-05-27,45.68,1.3,1299,161,32,10,True,2024-06-04,2024-06-12,2024-06-16,2024-06-22,18.0,Junior,Remote,$100k-$120k
Jobot Consulting,Contract,"Cincinnati, OH",IT Services and IT Consulting and Software Development,AI & Data Engineer ,2024-07-11,41.83,1.0,374,164,12,3,True,2024-07-14,2024-07-18,2024-07-21,2024-07-23,9.0,Senior,Hybrid,$80k-$100k
DNV,Full-time,"Helena, MT",Public Safety,Senior Data Engineer ,2024-09-27,78.1,4.0,308,139,27,0,False,2024-09-29,2024-10-08,2024-10-13,,,Senior,On-site,$100k-$120k
VUPICO,Full-time,"San Diego, CA",Biotechnology Research,Software Engineer,2024-09-03,56.71,2.2,382,168,10,0,False,2024-09-12,2024-09-19,2024-09-22,,,Junior,On-site,$120k+
Astra,Full-time,"Alameda, CA",Defense and Space Manufacturing,Senior Staff Python Engineer,2024-07-06,78.58,4.0,391,66,14,5,True,2024-07-08,2024-07-11,2024-07-16,2024-07-19,11.0,Senior,On-site,$120k+
Esync Technologies,Full-time,United States,IT Services and IT Consulting,Software Engineer Intern,2024-10-28,51.59,1.8,264,87,20,7,False,2024-11-06,2024-11-12,2024-11-17,,,Junior,Hybrid,$100k-$120k
VMD Corp,Full-time,"Arlington, VA","Airlines and Aviation, IT Services and IT Consulting, and Security and Investigations",Senior Data Analyst,2024-05-16,71.39,3.4,1162,38,2,0,False,2024-05-20,2024-05-26,2024-05-30,,,Senior,On-site,$120k+
Angry Creative,Full-time,"Palm Harbor, FL","Technology, Information and Internet",Spider Programmer I,2024-07-06,52.27,1.9,1323,24,2,0,False,2024-07-08,2024-07-11,2024-07-14,,,Senior,On-site,$80k-$100k
AgileEngine,Full-time,"Fort Lauderdale, FL",IT Services and IT Consulting,Data Engineer,2024-08-07,52.98,1.9,1063,21,2,0,False,2024-08-08,2024-08-13,2024-08-16,,,Mid-level,Hybrid,$120k+
Jobgether,Full-time,United States,Non-profit Organizations and Primary and Secondary Education,Sr. Software Engineer ,2024-09-09,51.98,1.8,1351,110,25,10,False,2024-09-13,2024-09-22,2024-09-28,,,Junior,Remote,$100k-$120k
Jobgether,Full-time,United States,Non-profit Organizations and Primary and Secondary Education,Senior Software Engineer ,2024-12-25,60.77,2.6,568,165,11,3,True,2025-01-03,2025-01-11,2025-01-17,2025-01-19,16.0,Senior,Remote,$100k-$120k
Central Bank,Full-time,"Urbandale, IA",Banking,Software Engineer,2024-05-31,48.53,1.5,1050,93,2,0,False,2024-06-09,2024-06-15,2024-06-17,,,Mid-level,Remote,$100k-$120k
AAA Auto Club Enterprises,Full-time,"Coppell, TX",Insurance,Data Scientist I,2024-09-24,59.5,2.5,242,112,25,8,True,2024-09-28,2024-10-02,2024-10-07,2024-10-12,14.0,Mid-level,Hybrid,$120k+
TEKsystems,Full-time,"Seattle, WA",IT Services and IT Consulting,Data Annotation Specialist,2024-10-20,42.98,1.1,687,33,4,1,False,2024-10-29,2024-11-06,2024-11-10,,,Junior,On-site,$60k-$80k
Jobot,Full-time,"Houston, TX",IT Services and IT Consulting and Software Development,Lead Data Engineer,2024-04-18,54.5,2.0,277,30,6,0,False,2024-04-24,2024-04-30,2024-05-06,,,Junior,Remote,$120k+
Starwood Property Trust,Full-time,"Miami Beach, FL",Real Estate,"Intern, IT ",2024-10-26,45.67,1.3,1025,147,23,4,True,2024-10-27,2024-11-05,2024-11-08,2024-11-12,16.0,Junior,On-site,$60k-$80k
